Id,Label,Weight
1,Austria,3.75
2,Belgium,3.8
3,Croatia,4.0
4,Czechia,3.8
5,Denmark,6.666666666666667
6,England,3.7142857142857144
7,Finland,1.0
8,France,4.5
9,Germany,4.25
10,Hungary,3.3333333333333335
11,Italy,5.142857142857143
12,Netherlands,4.0
13,North Macedonia,2.6666666666666665
14,Poland,3.6666666666666665
15,Portugal,4.75
16,Russia*,2.0
17,Scotland,3.3333333333333335
18,Slovakia,0.6666666666666666
19,Spain,7.166666666666667
20,Sweden,2.75
21,Switzerland,4.4
22,Türkiye,3.6666666666666665
23,Ukraine,4.0
24,Wales,2.75
