Id,Label,Weight
1,Austria,51.75
2,Belgium,39.4
3,Croatia,38.5
4,Czechia,44.2
5,Denmark,44.166666666666664
6,England,37.714285714285715
7,Finland,40.333333333333336
8,France,40.0
9,Germany,38.75
10,Hungary,49.0
11,Italy,41.57142857142857
12,Netherlands,50.25
13,North Macedonia,43.0
14,Poland,42.333333333333336
15,Portugal,40.75
16,Russia*,47.333333333333336
17,Scotland,40.0
18,Slovakia,35.0
19,Spain,44.5
20,Sweden,38.5
21,Switzerland,42.4
22,Türkiye,36.0
23,Ukraine,42.6
24,Wales,34.0
