Id,Label,Weight
1,Austria,4.25
2,Belgium,4.8
3,Croatia,2.5
4,Czechia,3.6
5,Denmark,2.5
6,England,3.2857142857142856
7,Finland,4.333333333333333
8,France,1.5
9,Germany,1.25
10,Hungary,2.0
11,Italy,2.7142857142857144
12,Netherlands,2.5
13,North Macedonia,3.0
14,Poland,2.3333333333333335
15,Portugal,1.0
16,Russia*,4.0
17,Scotland,1.3333333333333333
18,Slovakia,3.3333333333333335
19,Spain,1.1666666666666667
20,Sweden,4.5
21,Switzerland,5.2
22,Türkiye,4.666666666666667
23,Ukraine,3.4
24,Wales,5.5
