Id,Label,Weight
1,Austria,16.0
2,Belgium,11.8
3,Croatia,19.0
4,Czechia,19.4
5,Denmark,13.5
6,England,16.428571428571427
7,Finland,26.666666666666668
8,France,12.25
9,Germany,13.75
10,Hungary,18.666666666666668
11,Italy,12.857142857142858
12,Netherlands,9.75
13,North Macedonia,10.333333333333334
14,Poland,16.0
15,Portugal,8.75
16,Russia*,14.333333333333334
17,Scotland,14.333333333333334
18,Slovakia,18.333333333333332
19,Spain,7.833333333333333
20,Sweden,23.0
21,Switzerland,17.2
22,Türkiye,19.0
23,Ukraine,17.6
24,Wales,19.0
