Id,Label,Weight
1,Austria,5.25
2,Belgium,4.0
3,Croatia,2.75
4,Czechia,5.6
5,Denmark,6.5
6,England,4.142857142857143
7,Finland,0.3333333333333333
8,France,3.75
9,Germany,4.25
10,Hungary,0.6666666666666666
11,Italy,4.428571428571429
12,Netherlands,5.0
13,North Macedonia,3.3333333333333335
14,Poland,5.333333333333333
15,Portugal,3.75
16,Russia*,3.0
17,Scotland,6.0
18,Slovakia,2.6666666666666665
19,Spain,7.833333333333333
20,Sweden,5.0
21,Switzerland,7.2
22,Türkiye,6.666666666666667
23,Ukraine,3.0
24,Wales,3.25
