Id,Label,Weight
1,Austria,470.5
2,Belgium,515.0
3,Croatia,429.25
4,Czechia,330.2
5,Denmark,422.5
6,England,474.85714285714283
7,Finland,305.6666666666667
8,France,533.25
9,Germany,585.25
10,Hungary,240.0
11,Italy,535.8571428571429
12,Netherlands,462.25
13,North Macedonia,323.3333333333333
14,Poland,339.3333333333333
15,Portugal,513.75
16,Russia*,330.6666666666667
17,Scotland,313.6666666666667
18,Slovakia,397.0
19,Spain,781.3333333333334
20,Sweden,293.0
21,Switzerland,429.2
22,Türkiye,395.6666666666667
23,Ukraine,477.0
24,Wales,259.0
