Id,Label,Weight
1,Austria,81.5
2,Belgium,87.0
3,Croatia,85.0
4,Czechia,77.4
5,Denmark,82.5
6,England,86.28571428571429
7,Finland,78.33333333333333
8,France,89.0
9,Germany,89.25
10,Hungary,77.33333333333333
11,Italy,87.0
12,Netherlands,82.5
13,North Macedonia,79.66666666666667
14,Poland,75.66666666666667
15,Portugal,88.5
16,Russia*,77.0
17,Scotland,79.66666666666667
18,Slovakia,84.33333333333333
19,Spain,89.33333333333333
20,Sweden,71.0
21,Switzerland,84.6
22,Türkiye,83.66666666666667
23,Ukraine,86.6
24,Wales,79.25
