Id,Label,Weight
1,Austria,52.5
2,Belgium,52.6
3,Croatia,49.5
4,Czechia,47.6
5,Denmark,52.166666666666664
6,England,52.0
7,Finland,40.666666666666664
8,France,51.75
9,Germany,59.25
10,Hungary,34.666666666666664
11,Italy,53.57142857142857
12,Netherlands,54.75
13,North Macedonia,43.666666666666664
14,Poland,49.333333333333336
15,Portugal,53.5
16,Russia*,44.333333333333336
17,Scotland,44.0
18,Slovakia,46.333333333333336
19,Spain,66.83333333333333
20,Sweden,38.25
21,Switzerland,48.6
22,Türkiye,48.666666666666664
23,Ukraine,48.6
24,Wales,41.75
