Id,Label,Weight
1,Austria,0.0
2,Belgium,0.2
3,Croatia,0.0
4,Czechia,0.0
5,Denmark,0.3333333333333333
6,England,0.42857142857142855
7,Finland,0.0
8,France,0.75
9,Germany,0.5
10,Hungary,0.3333333333333333
11,Italy,0.42857142857142855
12,Netherlands,0.25
13,North Macedonia,0.3333333333333333
14,Poland,1.3333333333333333
15,Portugal,0.5
16,Russia*,0.0
17,Scotland,0.3333333333333333
18,Slovakia,0.3333333333333333
19,Spain,0.5
20,Sweden,0.5
21,Switzerland,0.2
22,Türkiye,0.0
23,Ukraine,0.2
24,Wales,0.25
